Cluster0,Cluster1
0.84188034188,0.15811965812,
0.00847457627119,0.991525423729,
0.329581993569,0.670418006431,
0.996732026144,0.00326797385621,
0.995867768595,0.00413223140496,
0.854838709677,0.145161290323,
0.949704142012,0.0502958579882,
0.996,0.004,
0.964,0.036,
0.609243697479,0.390756302521,
0.349462365591,0.650537634409,
0.0243243243243,0.975675675676,
0.260765550239,0.739234449761,
0.00561797752809,0.994382022472,
0.145161290323,0.854838709677,
0.0283018867925,0.971698113208,
0.00248756218905,0.997512437811,
0.00292397660819,0.997076023392,
0.0171102661597,0.98288973384,
0.12100456621,0.87899543379,
0.0343511450382,0.965648854962,
0.103305785124,0.896694214876,
0.13082437276,0.86917562724,
0.00285714285714,0.997142857143,
0.795774647887,0.204225352113,
0.0018315018315,0.998168498168,
0.00224215246637,0.997757847534,
0.5,0.5,
0.542328042328,0.457671957672,
0.734741784038,0.265258215962,
0.5,0.5,
0.0705329153605,0.929467084639,
0.0336426914153,0.966357308585,
0.122754491018,0.877245508982,
0.0775401069519,0.922459893048,
0.1,0.9,
0.98,0.02,
0.996815286624,0.0031847133758,
0.996774193548,0.00322580645161,
0.998316498316,0.0016835016835,
0.217557251908,0.782442748092,
0.990909090909,0.00909090909091,
0.86032388664,0.13967611336,
0.899014778325,0.100985221675,
0.917142857143,0.0828571428571,
0.903100775194,0.0968992248062,
0.0414012738854,0.958598726115,
0.863636363636,0.136363636364,
0.0358166189112,0.964183381089,
0.0037037037037,0.996296296296,
0.970588235294,0.0294117647059,
0.986486486486,0.0135135135135,
0.996894409938,0.00310559006211,
0.00980392156863,0.990196078431,
0.99765258216,0.00234741784038,
0.996350364964,0.0036496350365,
0.595238095238,0.404761904762,
0.988372093023,0.0116279069767,
0.81847133758,0.18152866242,
0.0028901734104,0.99710982659,
0.00413223140496,0.995867768595,
0.992537313433,0.00746268656716,
0.00649350649351,0.993506493506,
0.989795918367,0.0102040816327,
0.995145631068,0.00485436893204,
0.997175141243,0.00282485875706,
0.997175141243,0.00282485875706,
0.0789473684211,0.921052631579,
0.00746268656716,0.992537313433,
0.989795918367,0.0102040816327,
0.00617283950617,0.993827160494,
0.00588235294118,0.994117647059,
0.00413223140496,0.995867768595,
0.00559284116331,0.994407158837,
0.966666666667,0.0333333333333,
0.861344537815,0.138655462185,
0.0252525252525,0.974747474747,
0.557971014493,0.442028985507,
0.996124031008,0.00387596899225,
0.994252873563,0.00574712643678,
0.997005988024,0.00299401197605,
0.992957746479,0.00704225352113,
0.122641509434,0.877358490566,
0.994117647059,0.00588235294118,
0.978991596639,0.0210084033613,
0.148,0.852,
0.0037037037037,0.996296296296,
0.0430463576159,0.956953642384,
0.984848484848,0.0151515151515,
0.158031088083,0.841968911917,
0.719178082192,0.280821917808,
0.0049504950495,0.99504950495,
0.795081967213,0.204918032787,
0.00704225352113,0.992957746479,
0.00434782608696,0.995652173913,
0.5,0.5,
0.00649350649351,0.993506493506,
0.7,0.3,
0.994252873563,0.00574712643678,
0.829896907216,0.170103092784,
0.996932515337,0.00306748466258,
0.891534391534,0.108465608466,
0.973684210526,0.0263157894737,
0.852517985612,0.147482014388,
0.875939849624,0.124060150376,
0.148484848485,0.851515151515,
0.106837606838,0.893162393162,
0.714765100671,0.285234899329,
0.997890295359,0.00210970464135,
0.23417721519,0.76582278481,
0.447712418301,0.552287581699,
0.862397820163,0.137602179837,
0.0644171779141,0.935582822086,
0.00602409638554,0.993975903614,
0.00746268656716,0.992537313433,
0.997835497835,0.0021645021645,
0.676991150442,0.323008849558,
0.00877192982456,0.991228070175,
0.978260869565,0.0217391304348,
0.919889502762,0.0801104972376,
0.959459459459,0.0405405405405,
0.0111111111111,0.988888888889,
0.00340136054422,0.996598639456,
0.0609756097561,0.939024390244,
0.00632911392405,0.993670886076,
0.928571428571,0.0714285714286,
0.351239669421,0.648760330579,
0.00306748466258,0.996932515337,
0.902144772118,0.097855227882,
0.128571428571,0.871428571429,
0.62,0.38,
0.00344827586207,0.996551724138,
0.988372093023,0.0116279069767,
